"Seletores";"Cargo";"Quantitativo";"%";
"Eleição: Eleições Gerais 2014 - 1º Turno - 05/10/2014 Abrangência: Brasil - Situação: Todas  Brasil";"Presidente";"12";"0,05"
"";"Vice-presidente";"12";"0,05"
"";"Governador";"176";"0,67"
"";"Vice-governador";"186";"0,71"
"";"Senador";"185";"0,71"
"";"Deputado Federal";"7.140";"27,28"
"";"Deputado Estadual";"17.010";"64,99"
"";"Deputado Distrital";"1.028";"3,93"
"";"Senador 1º Suplente";"209";"0,80"
"";"Senador 2º Suplente";"214";"0,82"
"Subtotal";"";"26.172";""
"Total Geral";"";"26.172";""
