"Abrangência";"Município";"Qt";"%";
"AC";"ACRELÂNDIA";"9.144";"0,006"
"";"ASSIS BRASIL";"5.189";"0,004"
"";"BRASILÉIA";"17.131";"0,012"
"";"BUJARI";"6.902";"0,005"
"";"CAPIXABA";"6.941";"0,005"
"";"CRUZEIRO DO SUL";"51.483";"0,036"
"";"EPITACIOLÂNDIA";"10.412";"0,007"
"";"FEIJÓ";"18.597";"0,013"
"";"JORDÃO";"4.312";"0,003"
"";"MÂNCIO LIMA";"10.822";"0,008"
"";"MANOEL URBANO";"5.993";"0,004"
"";"MARECHAL THAUMATURGO";"8.799";"0,006"
"";"PLÁCIDO DE CASTRO";"12.521";"0,009"
"";"PORTO ACRE";"11.435";"0,008"
"";"PORTO WALTER";"5.445";"0,004"
"";"RIO BRANCO";"232.073";"0,162"
"";"RODRIGUES ALVES";"9.733";"0,007"
"";"SANTA ROSA DO PURUS";"2.784";"0,002"
"";"SENA MADUREIRA";"25.966";"0,018"
"";"SENADOR GUIOMARD";"16.635";"0,012"
"";"TARAUACÁ";"23.060";"0,016"
"";"XAPURI";"11.347";"0,008"
"Subtotal";"";"506.724";""
"AL";"ÁGUA BRANCA";"13.647";"0,010"
"";"ANADIA";"12.016";"0,008"
"";"ARAPIRACA";"128.811";"0,090"
"";"ATALAIA";"28.032";"0,020"
"";"BARRA DE SANTO ANTÔNIO";"9.806";"0,007"
"";"BARRA DE SÃO MIGUEL";"5.612";"0,004"
"";"BATALHA";"11.050";"0,008"
"";"BELÉM";"4.457";"0,003"
"";"BELO MONTE";"4.329";"0,003"
"";"BOCA DA MATA";"18.562";"0,013"
"";"BRANQUINHA";"7.378";"0,005"
"";"CACIMBINHAS";"7.263";"0,005"
"";"CAJUEIRO";"13.075";"0,009"
"";"CAMPESTRE";"4.627";"0,003"
"";"CAMPO ALEGRE";"20.991";"0,015"
"";"CAMPO GRANDE";"7.244";"0,005"
"";"CANAPI";"11.725";"0,008"
"";"CAPELA";"11.939";"0,008"
"";"CARNEIROS";"5.745";"0,004"
"";"CHÃ PRETA";"5.393";"0,004"
"";"COITÉ DO NÓIA";"7.846";"0,005"
"";"COLÔNIA LEOPOLDINA";"13.170";"0,009"
"";"COQUEIRO SECO";"4.113";"0,003"
"";"CORURIPE";"36.990";"0,026"
"";"CRAÍBAS";"15.763";"0,011"
"";"DELMIRO GOUVEIA";"33.653";"0,024"
"";"DOIS RIACHOS";"7.848";"0,005"
"";"ESTRELA DE ALAGOAS";"10.717";"0,008"
"";"FEIRA GRANDE";"14.750";"0,010"
"";"FELIZ DESERTO";"3.151";"0,002"
"";"FLEXEIRAS";"7.816";"0,005"
"";"GIRAU DO PONCIANO";"22.709";"0,016"
"";"IBATEGUARA";"9.569";"0,007"
"";"IGACI";"17.871";"0,013"
"";"IGREJA NOVA";"15.476";"0,011"
"";"INHAPI";"10.990";"0,008"
"";"JACARÉ DOS HOMENS";"4.307";"0,003"
"";"JACUÍPE";"4.722";"0,003"
"";"JAPARATINGA";"5.689";"0,004"
"";"JARAMATAIA";"4.203";"0,003"
"";"JEQUIÁ DA PRAIA";"6.812";"0,005"
"";"JOAQUIM GOMES";"11.811";"0,008"
"";"JUNDIÁ";"3.827";"0,003"
"";"JUNQUEIRO";"17.054";"0,012"
"";"LAGOA DA CANOA";"12.383";"0,009"
"";"LIMOEIRO DE ANADIA";"15.264";"0,011"
"";"MACEIÓ";"551.549";"0,386"
"";"MAJOR ISIDORO";"13.519";"0,009"
"";"MAR VERMELHO";"3.008";"0,002"
"";"MARAGOGI";"17.353";"0,012"
"";"MARAVILHA";"7.089";"0,005"
"";"MARECHAL DEODORO";"31.726";"0,022"
"";"MARIBONDO";"9.848";"0,007"
"";"MATA GRANDE";"15.096";"0,011"
"";"MATRIZ DE CAMARAGIBE";"16.486";"0,012"
"";"MESSIAS";"11.414";"0,008"
"";"MINADOR DO NEGRÃO";"3.791";"0,003"
"";"MONTEIRÓPOLIS";"5.238";"0,004"
"";"MURICI";"17.760";"0,012"
"";"NOVO LINO";"8.341";"0,006"
"";"OLHO D'ÁGUA DAS FLORES";"13.508";"0,009"
"";"OLHO D'ÁGUA DO CASADO";"6.078";"0,004"
"";"OLHO D'ÁGUA GRANDE";"3.794";"0,003"
"";"OLIVENÇA";"7.714";"0,005"
"";"OURO BRANCO";"7.101";"0,005"
"";"PALESTINA";"3.847";"0,003"
"";"PALMEIRA DOS ÍNDIOS";"46.886";"0,033"
"";"PÃO DE AÇÚCAR";"16.437";"0,012"
"";"PARICONHA";"7.147";"0,005"
"";"PARIPUEIRA";"8.061";"0,006"
"";"PASSO DE CAMARAGIBE";"10.337";"0,007"
"";"PAULO JACINTO";"5.919";"0,004"
"";"PENEDO";"39.031";"0,027"
"";"PIAÇABUÇU";"12.003";"0,008"
"";"PILAR";"23.178";"0,016"
"";"PINDOBA";"2.237";"0,002"
"";"PIRANHAS";"15.550";"0,011"
"";"POÇO DAS TRINCHEIRAS";"8.918";"0,006"
"";"PORTO CALVO";"18.210";"0,013"
"";"PORTO DE PEDRAS";"6.113";"0,004"
"";"PORTO REAL DO COLÉGIO";"13.159";"0,009"
"";"QUEBRANGULO";"8.854";"0,006"
"";"RIO LARGO";"48.343";"0,034"
"";"ROTEIRO";"3.854";"0,003"
"";"SANTA LUZIA DO NORTE";"5.029";"0,004"
"";"SANTANA DO IPANEMA";"28.078";"0,020"
"";"SANTANA DO MUNDAÚ";"7.108";"0,005"
"";"SÃO BRÁS";"5.225";"0,004"
"";"SÃO JOSÉ DA LAJE";"15.388";"0,011"
"";"SÃO JOSÉ DA TAPERA";"18.317";"0,013"
"";"SÃO LUÍS DO QUITUNDE";"20.562";"0,014"
"";"SÃO MIGUEL DOS CAMPOS";"35.550";"0,025"
"";"SÃO MIGUEL DOS MILAGRES";"5.682";"0,004"
"";"SÃO SEBASTIÃO";"22.251";"0,016"
"";"SATUBA";"9.052";"0,006"
"";"SENADOR RUI PALMEIRA";"7.850";"0,005"
"";"TANQUE D'ARCA";"4.776";"0,003"
"";"TAQUARANA";"12.186";"0,009"
"";"TEOTÔNIO VILELA";"25.484";"0,018"
"";"TRAIPU";"15.838";"0,011"
"";"UNIÃO DOS PALMARES";"40.406";"0,028"
"";"VIÇOSA";"18.242";"0,013"
"Subtotal";"";"1.995.727";""
"AM";"ALVARÃES";"9.060";"0,006"
"";"AMATURÁ";"5.114";"0,004"
"";"ANAMÃ";"6.736";"0,005"
"";"ANORI";"9.328";"0,007"
"";"APUÍ";"9.493";"0,007"
"";"ATALAIA DO NORTE";"6.922";"0,005"
"";"AUTAZES";"22.310";"0,016"
"";"BARCELOS";"9.231";"0,006"
"";"BARREIRINHA";"16.922";"0,012"
"";"BENJAMIN CONSTANT";"18.896";"0,013"
"";"BERURI";"10.093";"0,007"
"";"BOA VISTA DO RAMOS";"9.577";"0,007"
"";"BOCA DO ACRE";"18.830";"0,013"
"";"BORBA";"18.762";"0,013"
"";"CAAPIRANGA";"7.238";"0,005"
"";"CANUTAMA";"7.173";"0,005"
"";"CARAUARI";"17.742";"0,012"
"";"CAREIRO";"21.455";"0,015"
"";"CAREIRO DA VÁRZEA";"12.802";"0,009"
"";"COARI";"46.109";"0,032"
"";"CODAJÁS";"14.140";"0,010"
"";"EIRUNEPÉ";"20.290";"0,014"
"";"ENVIRA";"10.492";"0,007"
"";"FONTE BOA";"13.467";"0,009"
"";"GUAJARÁ";"8.662";"0,006"
"";"HUMAITÁ";"26.577";"0,019"
"";"IPIXUNA";"9.566";"0,007"
"";"IRANDUBA";"20.902";"0,015"
"";"ITACOATIARA";"55.269";"0,039"
"";"ITAMARATI";"5.998";"0,004"
"";"ITAPIRANGA";"6.668";"0,005"
"";"JAPURÁ";"3.816";"0,003"
"";"JURUÁ";"6.612";"0,005"
"";"JUTAÍ";"10.635";"0,007"
"";"LÁBREA";"22.266";"0,016"
"";"MANACAPURU";"52.231";"0,037"
"";"MANAQUIRI";"12.006";"0,008"
"";"MANAUS";"1.243.844";"0,871"
"";"MANICORÉ";"25.452";"0,018"
"";"MARAÃ";"8.446";"0,006"
"";"MAUÉS";"28.929";"0,020"
"";"NHAMUNDÁ";"12.150";"0,009"
"";"NOVA OLINDA DO NORTE";"15.512";"0,011"
"";"NOVO AIRÃO";"7.677";"0,005"
"";"NOVO ARIPUANÃ";"11.386";"0,008"
"";"PARINTINS";"64.280";"0,045"
"";"PAUINI";"9.151";"0,006"
"";"PRESIDENTE FIGUEIREDO";"16.737";"0,012"
"";"RIO PRETO DA EVA";"11.989";"0,008"
"";"SANTA ISABEL DO RIO NEGRO";"6.864";"0,005"
"";"SANTO ANTÔNIO DO IÇÁ";"12.069";"0,008"
"";"SÃO GABRIEL DA CACHOEIRA";"26.814";"0,019"
"";"SÃO PAULO DE OLIVENÇA";"14.764";"0,010"
"";"SÃO SEBASTIÃO DO UATUMÃ";"5.498";"0,004"
